
"Reference number","2024-00015973"
"Entity number","0469456640"
"Accounting period start date","2022-05-01"
"Accounting period end date","2023-04-30"
"Model code","m02-f-p"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","ROCCO FORTE & FAMILY (BRUSSELS)"
"Entity address street","Rue de l'Amigo"
"Entity address number","1"
"Entity postal code","1000"
"Entity city","Bruxelles"
"Entity country","Belgique"
"General assembly date","2023-10-31"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société anonyme"
